id,pattern,rule_text,school,source_url,confidence,tags,lang,created_at
1,Yin_Si_Shen_punishment,"Инь (Тигр), Сы (Змея) и Шэнь (Обезьяна) образуют «Наказание неблагодарности» (无恩之刑). Каждая ветвь вредит следующей в треугольнике дисгармонии. Связано с несчастными случаями, судебными неприятностями и конфликтами между людьми, которые должны быть союзниками. При наличии всех трёх в карте или активации циклом — наказание полное. Даже две ветви частично его запускают.",classical,local:наказания.md,high,"[""Yin"",""Si"",""Shen"",""punishment"",""earthly_branch"",""wood"",""fire"",""metal""]",en,2026-03-19 18:33:03.91574+00
2,Chou_Wei_Xu_punishment,"Чоу (Бык), Вэй (Коза) и Сюй (Собака) образуют «Наказание силой» (持势之刑). Три хранилища Земли в столкновении. Упрямство, борьба за власть и хронические проблемы со здоровьем (желудок, селезёнка). При активации двух из трёх — судебные споры и трудные конфликты с властью.",classical,local:наказания.md,high,"[""Chou"",""Wei"",""Xu"",""punishment"",""earthly_branch"",""earth""]",en,2026-03-19 18:33:03.91574+00
3,Zi_Mao_punishment,"Цзы (Крыса) и Мао (Кролик) образуют «Наказание бесцеремонности» (无礼之刑). Связано с нарушением социальных норм, сексуальными скандалами и нарушением границ. Часто встречается в картах людей, которым трудно следовать правилам. При активации в цикле удачи — судебные иски или общественные скандалы.",classical,local:наказания.md,high,"[""Zi"",""Mao"",""punishment"",""earthly_branch"",""water"",""wood""]",en,2026-03-19 18:33:03.91574+00
4,Chen_Chen_self_punishment,"Чэнь (Дракон) наказывает сам себя при наличии двух Чэнь в натальной карте. Самонаказание связано с самосаботажем — человек действует против собственных интересов в критические моменты. Проблемы со здоровьем желудка и пищеварения. Чем больше ветвей Чэнь, тем выраженнее тенденция к самодеструкции.",classical,local:наказания.md,high,"[""Chen"",""punishment"",""self_punishment"",""earthly_branch"",""earth""]",en,2026-03-19 18:33:03.91574+00
5,Wu_Wu_self_punishment,"У (Лошадь) наказывает само себя при двух У в карте. Связано с избыточной энергией Огня, обращённой внутрь: тревога, сердечные проблемы и импульсивный самовред (поспешные решения, причиняющие вред себе). В годы и месяцы У это самонаказание активируется особенно сильно.",classical,local:наказания.md,high,"[""Wu"",""punishment"",""self_punishment"",""earthly_branch"",""fire""]",en,2026-03-19 18:33:03.91574+00
6,You_You_self_punishment,"Ю (Петух) наказывает само себя. Металл режет Металл — перфекционизм доведённый до крайности, самокритика и проблемы с дыхательной системой. В циклах удачи с акцентом на Ю человек может изолироваться или подрывать собственные достижения избыточным самосудом.",classical,local:наказания.md,high,"[""You"",""punishment"",""self_punishment"",""earthly_branch"",""metal""]",en,2026-03-19 18:33:03.91574+00
7,Hai_Hai_self_punishment,"Хай (Свинья) самонаказание. Двойной Хай создаёт мутную Воду — замешательство, размытые границы и трудности с принятием решений. Связано со склонностью к зависимостям и эскапизму. Когда цикл удачи или годовой столп активирует это, человеку трудно удерживать чёткое направление.",classical,local:наказания.md,high,"[""Hai"",""punishment"",""self_punishment"",""earthly_branch"",""water""]",en,2026-03-19 18:33:03.91574+00
8,strong_daymaster_general,"Сильный Хозяин Дня обладает обильным самоэлементом — звёзды Ресурса и Компаньона заполняют месяц, год или несколько столпов, — и появляется в своём сезоне. Сильный Хозяин Дня выигрывает от звёзд Продуктивности, Богатства и Власти, которые дренируют и направляют избыточную энергию. Слишком много самоэлемента без выходов вызывает стагнацию, высокомерие и заблокированный потенциал.",classical,local:сила-хозяина-дня.md,high,"[""daymaster"",""strong"",""resource"",""companion""]",en,2026-03-19 18:33:04.162154+00
9,weak_daymaster_general,"Слабый Хозяин Дня испытывает нехватку поддерживающих звёзд Ресурса и Компаньона и появляется вне своего продуктивного сезона. Ему нужны звёзды Ресурса (элемент, порождающий самоэлемент) и звёзды Компаньона. Звёзды Богатства, Продуктивности и Власти дополнительно дренируют слабого Хозяина Дня и неблагоприятны без баланса.",classical,local:сила-хозяина-дня.md,high,"[""daymaster"",""weak"",""resource"",""companion""]",en,2026-03-19 18:33:04.162154+00
10,Jia_strong_summer_weak,"Хозяин Дня Цзя Дерево, рождённый летом (месяцы Сы, У, Вэй), ослаблен, так как Дерево чрезмерно питает Огонь. Звезда Продуктивности (Огонь) истощает силу. Без сильной Воды (Ресурс) или Земли (Богатство) для баланса Хозяин Дня испытывает трудности с поддержанием энергии. Благоприятные циклы удачи приносят сезоны Воды или Металла.",classical,local:сила-хозяина-дня.md,high,"[""Jia"",""daymaster"",""wood"",""fire"",""summer"",""weak""]",en,2026-03-19 18:33:04.162154+00
11,Geng_born_autumn_strong,"Хозяин Дня Гэн Металл, рождённый осенью (месяцы Шэнь, Ю, Сюй), находится в своём сезоне и естественно силён. Нуждается в Воде как Продуктивности для выражения своего качества (Вода = интеллект, письмо, мастерство). Слишком много Земли как Ресурса накапливается и погребает Металл. Лучшие циклы удачи — с Водой или Деревом (Богатство).",classical,local:сила-хозяина-дня.md,high,"[""Geng"",""daymaster"",""metal"",""autumn"",""Shen"",""You"",""Xu"",""strong""]",en,2026-03-19 18:33:04.162154+00
12,Ren_born_winter_strong,"Хозяин Дня Жэнь Вода, рождённый зимой (месяцы Хай, Цзы, Чоу), находится на пике силы. Карта-наводнение — необходима Земля как Власть/Богатство для сдерживания воды и Дерево как Продуктивность для её дренажа. Без этого энергия бесконтрольна. Высокопродуктивные люди при правильном направлении; рассеянные и беспокойные — иначе.",classical,local:сила-хозяина-дня.md,high,"[""Ren"",""daymaster"",""water"",""winter"",""Hai"",""Zi"",""Chou"",""strong""]",en,2026-03-19 18:33:04.162154+00
13,fire_daymaster_water_clash,"Для слабого Хозяина Дня Огня звезда Власти (Вода) скорее угрожает, чем придаёт сил. Вода контролирует Огонь, а слабый Огонь не справляется с сильной энергией Чиновника/Власти без предварительного укрепления. Сильная Вода в цикле удачи может вызвать давление на карьеру, стресс для здоровья и конфликты в отношениях.",classical,local:сила-хозяина-дня.md,high,"[""Bing"",""Ding"",""daymaster"",""fire"",""water"",""clash"",""power"",""weak""]",en,2026-03-19 18:33:04.162154+00
14,Zi_Chou_combine,"Цзы (Крыса) и Чоу (Бык) образуют шестое соединение, трансформирующееся в Землю при доминировании Земли. Иначе они «связаны» — каждая ветвь теряет часть независимой энергии. Эта связь может нейтрализовать столкновение Цзы–У, если Чоу присутствует рядом.",classical,local:соединения.md,high,"[""Zi"",""Chou"",""combine"",""earthly_branch"",""water"",""earth""]",en,2026-03-19 18:33:04.305404+00
15,Yin_Hai_combine,Инь (Тигр) и Хай (Свинья) соединяются и порождают Дерево. Вода Хай питает Дерево Инь. Это соединение усиливает хозяев дня Дерева при наличии обоих в карте или цикле удачи. Часто связано с литературным талантом и творческой самовыражённостью.,classical,local:соединения.md,high,"[""Yin"",""Hai"",""combine"",""earthly_branch"",""wood"",""water""]",en,2026-03-19 18:33:04.305404+00
16,Mao_Xu_combine,"Мао (Кролик) и Сюй (Собака) соединяются и трансформируются в Огонь при соответствующих условиях. Классические тексты отмечают, что это порождает сильные эмоции и страсть. Хранилище Сюй открывается, Дерево Мао питает скрытый Огонь — создавая интенсивность в отношениях.",classical,local:соединения.md,high,"[""Mao"",""Xu"",""combine"",""earthly_branch"",""wood"",""earth"",""fire""]",en,2026-03-19 18:33:04.305404+00
17,Chen_You_combine,Чэнь (Дракон) и Ю (Петух) соединяются и производят Металл. Когда это соединение формируется в цикле удачи для хозяина дня Металла — часто наступает период значительного усиления и достижений.,classical,local:соединения.md,high,"[""Chen"",""You"",""combine"",""earthly_branch"",""earth"",""metal""]",en,2026-03-19 18:33:04.305404+00
18,Si_Shen_combine,"Сы (Змея) и Шэнь (Обезьяна) соединяются и производят Воду. Оба несут скрытую Воду, и соединение вытягивает водную энергию. Противоречивая природа — они также слабо сталкиваются — делает это одним из наименее стабильных соединений.",classical,local:соединения.md,high,"[""Si"",""Shen"",""combine"",""earthly_branch"",""fire"",""metal"",""water""]",en,2026-03-19 18:33:04.305404+00
